margin_pct,stock_ratio,customer_loyalty,discount_requested_pct,hour_of_day,is_peak_hour,ai_decision
0.3982802218501835,0.2181491845610315,0.028451245430718086,0.01098151811727761,1,0,hold_price
0.24749529788842356,0.6629277005606187,0.31848557902147234,0.4696718762261272,7,0,counter_offer
0.4363690639601221,0.7668615203028132,0.6017829974514045,0.4304649395180367,6,0,discount
0.36381561307671373,0.1666361430284744,0.29295808162729675,0.157263991006116,15,0,hold_price
0.09237980654944229,0.04385828341791598,0.2694006914037191,0.15937198446199516,11,0,hold_price
0.48903005823654017,0.43958737530133873,0.2816371247773464,0.16289281770345768,3,0,discount
0.3925128658956588,0.7740240859924371,0.057713149461181834,0.4022518678525534,15,0,hold_price
0.4037289373746292,0.6507798355741427,0.4076149743209687,0.17650637034798033,23,0,discount
0.10765113470399565,0.7018817204145913,0.21788766746474372,0.18621765301918816,20,1,hold_price
0.2526736720530052,0.4028393399933684,0.05476574733851564,0.22597139633459942,23,0,hold_price
0.2168591109046616,0.23494554525306988,0.13025632589507186,0.5881207957636055,11,0,counter_offer
0.4670442449818708,0.5317788432846094,0.24284187986141992,0.2760590441648253,8,0,discount
0.33973930403629904,0.2043656937491969,0.378525598350105,0.22642521319299433,1,0,hold_price
0.4202427259718735,0.7262286969850658,0.08928658229878327,0.2820137865866382,16,0,hold_price
0.249536389472299,0.19696645595947704,0.28029172542921255,0.4315221029081076,10,0,hold_price
0.1522574248031496,0.29126326671434144,0.4139331632024584,0.530214441179714,15,0,counter_offer
0.29956315415712564,0.5065447783230054,0.10024829965002509,0.5944810897490332,7,0,counter_offer
0.0787177652468789,0.48670993414349495,0.37610305070592087,0.2916385372020686,4,0,counter_offer
0.4224340273966619,0.6008493764070294,0.2757686591750084,0.2760858203860351,16,0,discount
0.33424897960492916,0.43744460049991696,0.23665845333827434,0.19818695015601354,9,0,bonus
0.3911394830384182,0.9194733085100913,0.1773082490307237,0.46745556877686867,12,0,hold_price
0.20953668565844075,0.8399340941971882,0.1802333239557305,0.393351700798966,23,0,counter_offer
0.4868141109777065,0.8791134512366384,0.5413229128319961,0.21801870814367852,6,0,bonus
0.45190450459498893,0.6295165714034375,0.3297648510465622,0.31112500895778084,3,0,discount
0.40027257368319286,0.6350079158608064,0.6086222447154348,0.1234924639710984,17,0,bonus
0.1375874185333854,0.6091986837159487,0.3495955686110265,0.4163961891785863,13,0,counter_offer
0.26002445167716537,0.4348841544214562,0.14883937426044813,0.1512741282681163,9,0,hold_price
0.06971169460425296,0.3221060010672626,0.46264143080604053,0.20972764141353575,14,0,counter_offer
0.11943027143039653,0.5920028874488703,0.40649738514999184,0.04087114841503723,22,0,bonus
0.3573720289591046,0.02553183713845031,0.570610015435897,0.13192226276992894,4,0,discount
0.38514297015851773,0.007456431423803034,0.29872796727188006,0.11692953049492928,18,1,bonus
0.4853793795953945,0.8516418262967486,0.5544867135367606,0.4411840101047361,12,0,bonus
0.19662141116216836,0.046424044777622187,0.16770018648058552,0.4166806730638886,19,1,counter_offer
0.21670686771569103,0.5247951503334181,0.13835708814309497,0.32288628531295177,22,0,hold_price
0.26130011507411355,0.6149877629496451,0.3914012299335162,0.23223390688185697,3,0,discount
0.13526211158792856,0.1981712296224356,0.18869889521158234,0.5336478717525491,2,0,counter_offer
0.10846467740096224,0.8957308382651483,0.5417061427023525,0.5304500086338892,0,0,counter_offer
0.26406721680167017,0.190095771748375,0.09838268194740662,0.36170110391939,4,0,hold_price
0.15210920707289785,0.8845149873666747,0.09603869592885188,0.39476882701406996,8,0,counter_offer
0.35141629760712967,0.7629902693330352,0.21119496354774225,0.4778704234141561,6,0,hold_price
0.24671836349254883,0.24074295352419395,0.0813286244199127,0.4336649751727425,19,1,hold_price
0.4247051882260268,0.15074416627609355,0.30331136285386184,0.13494088931254847,18,1,hold_price
0.3651192959010121,0.3162327101862351,0.1915102301431076,0.3020164210176944,8,0,hold_price
0.1905649886219185,0.3979505662702747,0.08216483453979838,0.09113154222103444,13,0,hold_price
